group,team,player_name,position_group,source
A,Coreia do Sul,Cho Yu-min,Defender,SillySeason Apr 1 2026
A,Coreia do Sul,Kim Min-jae,Defender,SillySeason Apr 1 2026
A,Coreia do Sul,Kim Moon-hwan,Defender,SillySeason Apr 1 2026
A,Coreia do Sul,Kim Tae-hyeon,Defender,SillySeason Apr 1 2026
A,Coreia do Sul,Lee Han-beom,Defender,SillySeason Apr 1 2026
A,Coreia do Sul,Lee Tae-seok,Defender,SillySeason Apr 1 2026
A,Coreia do Sul,Park Jin-seob,Defender,SillySeason Apr 1 2026
A,Coreia do Sul,Seol Young-woo,Defender,SillySeason Apr 1 2026
A,Coreia do Sul,Cho Gue-sung,Forward,SillySeason Apr 1 2026
A,Coreia do Sul,Oh Hyeon-gyu,Forward,SillySeason Apr 1 2026
A,Coreia do Sul,Son Heung-min,Forward,SillySeason Apr 1 2026
A,Coreia do Sul,Jo Hyeon-woo,Goalkeeper,SillySeason Apr 1 2026
A,Coreia do Sul,Kim Seung-gyu,Goalkeeper,SillySeason Apr 1 2026
A,Coreia do Sul,Song Bum-keun,Goalkeeper,SillySeason Apr 1 2026
A,Coreia do Sul,Bae Jun-ho,Midfielder,SillySeason Apr 1 2026
A,Coreia do Sul,Eom Ji-sung,Midfielder,SillySeason Apr 1 2026
A,Coreia do Sul,Hwang Hee-chan,Midfielder,SillySeason Apr 1 2026
A,Coreia do Sul,Jens Castrop,Midfielder,SillySeason Apr 1 2026
A,Coreia do Sul,Kim Jin-gyu,Midfielder,SillySeason Apr 1 2026
A,Coreia do Sul,Kwon Hyeok-kyu,Midfielder,SillySeason Apr 1 2026
A,Coreia do Sul,Lee Jae-sung,Midfielder,SillySeason Apr 1 2026
A,Coreia do Sul,Seo Min-woo,Midfielder,SillySeason Apr 1 2026
A,Coreia do Sul,Won Du-jae,Midfielder,SillySeason Apr 1 2026
A,Coreia do Sul,Yang Min-hyeok,Midfielder,SillySeason Apr 1 2026
A,México,César Montes,Defender,SillySeason Apr 1 2026
A,México,Israel Reyes,Defender,SillySeason Apr 1 2026
A,México,Jesús Gallardo,Defender,SillySeason Apr 1 2026
A,México,Jesús Orozco,Defender,SillySeason Apr 1 2026
A,México,Johan Vásquez,Defender,SillySeason Apr 1 2026
A,México,Kevin Álvarez,Defender,SillySeason Apr 1 2026
A,México,Mateo Chávez,Defender,SillySeason Apr 1 2026
A,México,Alexis Vega,Forward,SillySeason Apr 1 2026
A,México,César Huerta,Forward,SillySeason Apr 1 2026
A,México,Diego Lainez,Forward,SillySeason Apr 1 2026
A,México,Germán Berterame,Forward,SillySeason Apr 1 2026
A,México,Hirving Lozano,Forward,SillySeason Apr 1 2026
